Pizza,Pasta
Oceano,Acqua
Chitarra,Musica
Montagna,Neve
Robot,ChatGPT
Castello,Cattedrale
Drago,Fata
Arcobaleno,Aurora
Mago,Demone
Piramide,Tempio
Ninja,Assassino
Vulcano,Terremoto
Unicorno,Cavallo
Faro,Torre
Astronave,Navicella
Tesoro,Oro
Giungla,Foresta pluviale
Pinguino,Foca
Tuono,Fulmine
Farfalla,Libellula
Dinosauro,Fossile
Carnevale,Festa
Telescopio,Binocolo
Sottomarino,Nave
Orologio,Calendario
Specchio,Finestra
Foresta,Bosco
Deserto,Oasi
Isola,Penisola
Tempesta,Uragano
Fuoco d’artificio,Petardo
Fiocco di neve,Grandine
Luna,Sole
Girasole,Margherita
Bussola,Mappa
Chiave,Lucchetto
Ponte,Tunnel
Treno,Tram
Aereo,Elicottero
Razzo,Missile
Laboratorio,Officina
Biblioteca,Libreria
Museo,Galleria
Circo,Teatro
Pirata,Corsaro
Cavaliere,Scudiero
Samurai,Ronin
Faraone,Mummia
Vichingo,Barbaro
Sirena,Ninfa
Kraken,Piovra gigante
Fantasma,Spirito
Vampiro,Zombie
Lupo mannaro,Mostro
Alieno,Marziano
Pianeta,Stella
Galassia,Universo
Asteroide,Meteorite
Cometa,Meteora
Satellite,Sonda
Radar,Sonar
Macchina fotografica,Videocamera
Mappa,Atlante
Labirinto,Rompicapo
Puzzle,Indovinello
Scacchi,Dama
Domino,Dadi
Candela,Lanterna
Ombra,Silhouette
Eco,Sussurro
Onda,Marea
Fiume,Torrente
Cascata,Rapide
Ghiacciaio,Iceberg
Corallo,Barriera
Cavalluccio marino,Stella marina
Polpo,Calamaro
Falco,Aquila
Gufo,Civetta
Lupo,Volpe
Tigre,Leone
Elefante,Rinoceronte
Camaleonte,Lucertola
Miele,Sciroppo
Alveare,Favo
Fungo,Agarico
Quercia,Pino
Bonsai,Ginepro
Frutteto,Giardino
Vigneto,Cantina
Panetteria,Pasticceria
Mercato,Bazar
Festival,Concerto
Parata,Corteo
Maschera,Travestimento
Costume,Uniforme
Corona,Tiara
Trono,Scettro
Pergamena,Manoscritto
Bussola,Nord
